ac_name,ac_no,type,winning_cand,party,totelectors,totvotes,poll_percentage,margin,winning_percentage
Royapuram,1,GEN,R. Mathivanan,Dravida Munetra Kazhagam,"1,18,588","83,095",70.10%,"11,766",9.92
Harbour,2,GEN,M. Karunanidhi,Dravida Munetra Kazhagam,"1,06,293","70,651",66.50%,"31,991",30.1
Dr. Radhakrishnan Nagar,3,GEN,"Sarkunam, S.P.",Dravida Munetra Kazhagam,"1,79,625","1,21,401",67.60%,"24,256",13.5
Park Town,4,GEN,"Rahmankhan, A.",Dravida Munetra Kazhagam,"1,13,205","76,521",67.60%,"20,143",17.79
Perambur,5,SC,Chengai Sivam Alias Sajaisvam J.,Dravida Munetra Kazhagam,"1,84,148","1,23,856",67.30%,"39,990",21.72
Purasawalkam,6,GEN,"Veerasamy Arcot, N.",Dravida Munetra Kazhagam,"2,04,074","1,39,265",68.20%,"38,264",18.75
Egmore,7,SC,Elamvazhuthi,Dravida Munetra Kazhagam,"1,15,205","77,532",67.30%,"20,969",18.2
Anna Nagar,8,GEN,"Anbazhagan, K.",Dravida Munetra Kazhagam,"2,23,765","1,44,459",64.60%,"32,407",14.48
Theagaraya Nagar,9,GEN,"Ganesan, S.A.",Dravida Munetra Kazhagam,"1,78,867","1,16,824",65.30%,"22,104",12.36
Thousand Lights,10,GEN,"Stalin, M.K.",Dravida Munetra Kazhagam,"1,50,057","1,01,758",67.80%,"20,634",13.75
Chepauk,11,GEN,"Latheef, M.A.",Dravida Munetra Kazhagam,"98,546","66,894",67.90%,"18,353",18.62
Triplicane,12,GEN,Nanjil K. Manoharan,Dravida Munetra Kazhagam,"1,15,258","80,589",69.90%,"9,972",8.65
Mylapore,13,GEN,"Ganapathy, N.",Dravida Munetra Kazhagam,"1,73,258","1,20,361",69.50%,"18,195",10.5
Saidapet,14,GEN,R.S. Sridhar,Dravida Munetra Kazhagam,"1,88,305","1,24,484",66.10%,"32,589",17.31
Gummidipundi,15,GEN,"Venu, K.",Dravida Munetra Kazhagam,"1,51,862","1,00,774",66.40%,"3,530",2.32
Ponneri,16,SC,"Sundaram, K.",Dravida Munetra Kazhagam,"1,66,812","1,18,907",71.30%,"7,607",4.56
Thiruvottiyur,17,GEN,"Palanisamy, T.K.",Dravida Munetra Kazhagam,"2,25,272","1,51,160",67.10%,"21,072",9.35
Villivakkam,18,GEN,"Varadarajan, W.R.",Communist Party Of India (MARXIST),"3,43,571","2,15,573",62.70%,"59,421",17.3
Alandur,19,GEN,C. Shanmugam,Dravida Munetra Kazhagam,"2,49,164","1,61,261",64.70%,"26,009",10.44
Tambaram,20,GEN,"Vaithlyaligam, M.A.",Dravida Munetra Kazhagam,"3,05,128","1,94,481",63.70%,"46,261",15.16
Tirupporur,21,SC,"Thirumurthy, D.",Dravida Munetra Kazhagam,"1,40,584","84,641",60.20%,"3,512",2.5
Chengalpattu,22,GEN,V. Tamilmani,Dravida Munetra Kazhagam,"1,41,410","86,983",61.50%,"16,341",11.56
Maduranthakam,23,GEN,"Ugamchand, S.D.",All India Anna Dravida Munnetra Kazhagam(JAYALALITA GROUP),"1,34,445","94,343",70.20%,"3,508",2.61
Acharapakkam,24,SC,"Ramakrishnan, E.",Dravida Munetra Kazhagam,"1,24,447","80,973",65.10%,"27,893",22.41
Uthiramerur,25,GEN,"Sundar, K.",Dravida Munetra Kazhagam,"1,50,706","92,366",61.30%,"11,129",7.38
Kancheepuram,26,GEN,"Murugesan, P.",Dravida Munetra Kazhagam,"1,59,038","1,15,031",72.30%,"21,413",13.46
Sriperumbudur,27,SC,E. Kothandam,Dravida Munetra Kazhagam,"1,43,453","93,013",64.80%,"6,390",4.45
Poonamallee,28,GEN,"Masilamani, T.R.",Dravida Munetra Kazhagam,"1,84,163","1,23,888",67.30%,"29,295",15.91
Tiruvallur,29,GEN,S.R. Munirathinam,Dravida Munetra Kazhagam,"1,36,072","97,487",71.60%,"22,239",16.34
Tiruttani,30,GEN,"Natarajan, P.",Dravida Munetra Kazhagam,"1,38,174","86,844",62.90%,"9,123",6.6
