ac_name,ac_no,type,winning_cand,party,totelectors,totvotes,poll_percentage,margin,winning_percentage,
Royapuram,1,GEN,Jayakumar.D,All India Anna Dravida Munnetra Kazhagam,"1,56,528","78,338",50.05,13712,17.50%,
Harbour,2,GEN,Anbazhagan.K,Dravida Munetra Kazhagam,"1,29,157","51,563",39.92,336,0.70%,
Dr. Radhakrishnan Nagar,3,GEN,Sekar Babu.P.K,All India Anna Dravida Munnetra Kazhagam,"2,72,666","1,28,175",47.01,27332,21.30%,
Park Town,4,GEN,Vinayakamurthi S.G,Tamil Maanila Congress (MOOPANAR),"1,40,145","64,268",45.86,6377,9.90%,
Perambur,5,SC,Mahendran K.,Communist Party Of India (MARXIST),"2,76,886","1,32,799",47.96,17223,13.00%,
Purasawalkam,6,GEN,Ranganathan B,Dravida Munetra Kazhagam,"3,07,376","1,43,574",46.71,3802,2.60%,
Egmore,7,SC,Parithi.Ellamvazhuthi,Dravida Munetra Kazhagam,"1,55,310","69,590",44.81,86,0.10%,
Anna Nagar,8,GEN,Arcot Veeraswami .N,Dravida Munetra Kazhagam,"3,76,745","1,60,469",42.59,5578,3.50%,
Theagaraya Nagar,9,GEN,Anbazhagan.J,Dravida Munetra Kazhagam,"2,77,999","1,19,216",42.88,2499,2.10%,
Thousand Lights,10,GEN,Stalin M.K.,Dravida Munetra Kazhagam,"2,10,474","95,428",45.34,7274,7.60%,
Chepauk,11,GEN,Karunanidhi M,Dravida Munetra Kazhagam,"1,28,399","57,477",44.76,4834,8.40%,
Triplicane,12,GEN,Hussain.S.A.M.,Dravida Munetra Kazhagam,"1,62,839","70,179",43.1,3676,5.20%,
Mylapore,13,GEN,Lakshmanan.K.N,Bharatiya Janta Party,"2,88,708","1,19,385",41.35,6047,5.10%,
Saidapet,14,GEN,Perumal.V,Dravida Munetra Kazhagam,"2,79,266","1,29,080",46.22,3881,3.00%,
Gummidipundi,15,GEN,Sudarsanam.K.,All India Anna Dravida Munnetra Kazhagam,"2,09,468","1,31,096",62.59,24958,19.00%,
Ponneri,16,SC,Kannan.A.S.,Communist Party Of India,"2,43,530","1,49,148",61.24,27390,18.40%,
Thiruvottiyur,17,GEN,Arumugam.T,All India Anna Dravida Munnetra Kazhagam,"4,32,947","2,07,167",47.85,34041,16.40%,
Villivakkam,18,GEN,Nepoleon .D,Dravida Munetra Kazhagam,"8,19,547","3,41,837",41.71,9230,2.70%,
Alandur,19,GEN,Valarmathi B.,All India Anna Dravida Munnetra Kazhagam,"4,23,174","1,98,708",46.96,12596,6.30%,
Tambaram,20,GEN,Vaidialingam M.A.,Dravida Munetra Kazhagam,"7,76,058","3,22,120",41.51,5431,1.70%,
Tirupporur,21,SC,Kanitha Sampath S,All India Anna Dravida Munnetra Kazhagam,"2,35,443","1,36,750",58.08,24790,18.10%,
Chengalpattu,22,GEN,Arumugam K,Pattali Makkal Katchi,"2,04,010","1,20,628",59.13,5149,4.30%,
Maduranthakam,23,GEN,Vasudevan .P.,All India Anna Dravida Munnetra Kazhagam,"1,81,901","1,12,755",61.99,11694,10.40%,
Acharapakkam,24,SC,Selvaraj.A,Pattali Makkal Katchi,"1,67,541","1,00,793",60.16,15478,15.40%,
Uthiramerur,25,GEN,Somasundaram. V,All India Anna Dravida Munnetra Kazhagam,"1,96,375","1,30,726",66.57,27622,21.10%,
Kancheepuram,26,GEN,Thirunavukkarasu Ss,All India Anna Dravida Munnetra Kazhagam,"2,51,748","1,50,954",59.96,23603,15.60%,
Sriperumbudur,27,SC,Yasodha D,Indian National Congress,"2,22,968","1,41,515",63.47,17193,12.10%,
Poonamallee,28,GEN,Shanmugam S,Pattali Makkal Katchi,"3,06,344","1,65,864",54.14,2316,1.40%,
Tiruvallur,29,GEN,Sudharsanam.D,Tamil Maanila Congress (MOOPANAR),"1,93,411","1,11,789",57.8,19951,17.80%,
Tiruttani,30,GEN,Raviraj G,Pattali Makkal Katchi,"1,73,980","1,17,063",67.29,13874,11.90%,
Pallipet,31,GEN,Narasimhan .P.M,All India Anna Dravida Munnetra Kazhagam,"1,83,742","1,26,049",68.6,28240,22.40%,
Arkonam,32,SC,Bhavani Karunakaran .K,All India Anna Dravida Munnetra Kazhagam,"1,91,523","1,21,695",63.54,20256,16.60%,
Sholinghur,33,GEN,Vilvanathan. R,All India Anna Dravida Munnetra Kazhagam,"1,75,100","1,24,842",71.3,9795,7.80%,
Ranipet,34,GEN,Chandrasekaran M.S.,All India Anna Dravida Munnetra Kazhagam,"2,27,057","1,47,771",65.08,24963,16.90%,
Arcot,35,GEN,Neelakandan P,All India Anna Dravida Munnetra Kazhagam,"1,60,346","1,11,012",69.23,17707,16.00%,
Katpadi,36,GEN,Duraimurugan,Dravida Munetra Kazhagam,"1,93,925","1,29,854",66.96,8002,6.20%,
