ac_name,ac_no,type,district,winning_cand,party,totelectors,totvotes,poll_percentage,margin,winning_percentage,
Gummidipoondi,1,GEN,Thiruvallur,Sekar C H,Desiya Murpokku Dravida Kazhagam,"2,15,430","1,78,276",82.80%,29101,16.30%,
Ponneri,2,SC,Thiruvallur,Pon. Raja,All India Anna Dravida Munnetra Kazhagam,"2,02,421","1,63,088",80.60%,31073,19.10%,
Tiruttani,3,GEN,Thiruvallur,Arunsubramanian. M,Desiya Murpokku Dravida Kazhagam,"2,36,718","1,91,237",80.80%,23930,12.50%,
Thiruvallur,4,GEN,Thiruvallur,Ramana B.V,All India Anna Dravida Munnetra Kazhagam,"2,07,922","1,70,115",81.80%,23648,13.90%,
Poonmallae,5,SC,Thiruvallur,Manimaran R,All India Anna Dravida Munnetra Kazhagam,"2,29,436","1,81,531",79.10%,41419,22.80%,
Avadi,6,GEN,Thiruvallur,Abdul Rahim.S,All India Anna Dravida Munnetra Kazhagam,"2,77,856","1,99,538",71.80%,43238,21.70%,
Maduravoyal,7,GEN,Thiruvallur,Beem Rao. G,Communist Party Of India (MARXIST),"2,69,487","1,85,925",69.00%,24011,12.90%,
Ambattur,8,GEN,Thiruvallur,Vedhachalam. S,All India Anna Dravida Munnetra Kazhagam,"2,64,960","1,86,347",70.30%,22717,12.20%,
Madavaram,9,GEN,Thiruvallur,Moorthy V,All India Anna Dravida Munnetra Kazhagam,"2,75,590","2,07,325",75.20%,34765,16.80%,
Thiruvottiyur,10,GEN,Thiruvallur,"Kuppan, K.",All India Anna Dravida Munnetra Kazhagam,"2,21,456","1,64,716",74.40%,27291,16.60%,
Dr.Radhakrishnan Nagar,11,GEN,Chennai,Vetriivel P,All India Anna Dravida Munnetra Kazhagam,"1,95,146","1,41,942",72.70%,31255,22.00%,
Perambur,12,GEN,Chennai,Soundararajan A,Communist Party Of India (MARXIST),"2,32,333","1,62,026",69.70%,17423,10.80%,
Kolathur,13,GEN,Chennai,Stalin M.K.,Dravida Munetra Kazhagam,"2,07,990","1,41,989",68.30%,2819,2.00%,
Villivakkam,14,GEN,Chennai,Prabhakar Jcd,All India Anna Dravida Munnetra Kazhagam,"1,93,208","1,30,828",67.70%,10782,8.20%,
Thiru-Vi-Ka-Nagar,15,SC,Chennai,Neelakandan. V,All India Anna Dravida Munnetra Kazhagam,"1,81,235","1,23,807",68.30%,29341,23.70%,
Egmore,16,SC,Chennai,Nallathambi K,Desiya Murpokku Dravida Kazhagam,"1,64,759","1,11,996",68.00%,202,0.20%,
Royapuram,17,GEN,Chennai,Jayakumar. D,All India Anna Dravida Munnetra Kazhagam,"1,59,335","1,12,461",70.60%,21372,19.00%,
Harbour,18,GEN,Chennai,Karuppiah .Pala,All India Anna Dravida Munnetra Kazhagam,"1,52,784","96,475",63.10%,20317,21.10%,
Chepauk-Thiruvallikeni,19,GEN,Chennai,Anbazhagan. J,Dravida Munetra Kazhagam,"1,87,297","1,29,836",69.30%,9203,7.10%,
Thousand Lights,20,GEN,Chennai,Valarmathi. B,All India Anna Dravida Munnetra Kazhagam,"1,99,978","1,33,567",66.80%,7592,5.70%,
Anna Nagar,21,GEN,Chennai,Gokula Indira S,All India Anna Dravida Munnetra Kazhagam,"2,26,816","1,51,608",66.80%,36590,24.10%,
Virugampakkam,22,GEN,Chennai,Partha Sarathy B,Desiya Murpokku Dravida Kazhagam,"2,14,871","1,44,069",67.00%,14094,9.80%,
Saidapet,23,GEN,Chennai,Senthamizhan.G,All India Anna Dravida Munnetra Kazhagam,"2,19,001","1,54,225",70.40%,12071,7.80%,
Thiyagarayanagar,24,GEN,Chennai,Kalairajan V P,All India Anna Dravida Munnetra Kazhagam,"1,94,890","1,29,751",66.60%,32462,25.00%,
Mylapore,25,GEN,Chennai,Rajalakshmi R,All India Anna Dravida Munnetra Kazhagam,"2,15,336","1,42,882",66.40%,29204,20.40%,
Velachery,26,GEN,Chennai,Ashok M.K.,All India Anna Dravida Munnetra Kazhagam,"2,27,204","1,52,364",67.10%,31720,20.80%,
